,,,Trigger SOV_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660307986.478801,12:39:46.478801,7149,0.62200000
1660307998.734801,12:39:58.734801,7147,0.52800000
1660308011.379801,12:40:11.379801,7145,0.67300000
1660308023.275801,12:40:23.275801,7143,0.23000000
1660308036.264801,12:40:36.264801,7141,0.74100000
1660308048.597801,12:40:48.597801,7139,0.44300000
1660308061.190801,12:41:01.190801,7137,0.75200000
1660308073.572801,12:41:13.572801,7135,0.65100000
1660308086.017801,12:41:26.017801,7133,0.61600000
1660308098.303801,12:41:38.303801,7131,0.95800000
1660308110.803801,12:41:50.803801,7129,0.52500000
1660308123.292801,12:42:03.292801,7127,0.74400000
1660308135.487801,12:42:15.487801,7125,0.44500000
1660308148.287801,12:42:28.287801,7123,0.91900000
1660308160.866801,12:42:40.866801,7121,0.94500000
1660308173.345801,12:42:53.345801,7119,0.92500000
1660308185.531801,12:43:05.531801,7117,0.65800000
1660308198.027801,12:43:18.027801,7115,0.87600000
1660308210.200801,12:43:30.200801,7113,0.46800000
1660308222.937801,12:43:42.937801,7111,0.93400000
1660308235.242801,12:43:55.242801,7109,0.83800000
1660308247.399801,12:44:07.399801,7107,0.69700000
1660308260.141801,12:44:20.141801,7105,0.90100000
1660308272.189801,12:44:32.189801,7103,0.53500000
1660308284.570801,12:44:44.570801,7101,0.54800000
1660308296.571801,12:44:56.571801,7099,0.28800000
1660308309.464801,12:45:09.464801,7097,0.59700000
1660308322.031801,12:45:22.031801,7095,0.95700000
1660308334.272802,12:45:34.272802,7093,0.57900000
1660308346.926801,12:45:46.926801,7091,0.71300000
1660308359.255801,12:45:59.255801,7089,0.52600000
1660308371.843801,12:46:11.843801,7087,0.56100000
1660308384.708801,12:46:24.708801,7085,0.98100000
1660308396.658801,12:46:36.658801,7083,0.51500000
1660308409.453801,12:46:49.453801,7081,0.70100000
1660308422.168802,12:47:02.168802,7079,0.94100000
1660308434.594801,12:47:14.594801,7077,0.94400000
1660308446.582801,12:47:26.582801,7075,0.47400000
1660308459.619801,12:47:39.619801,7073,0.96400000
1660308472.115801,12:47:52.115801,7071,0.96400000
1660308484.006801,12:48:04.006801,7069,0.53500000
1660308496.825801,12:48:16.825801,7067,0.87300000
1660308508.981801,12:48:28.981801,7065,0.65100000
1660308521.107801,12:48:41.107801,7063,0.35600000
1660308534.255801,12:48:54.255801,7061,0.99400000
1660308546.610801,12:49:06.610801,7059,0.88600000
1660308558.835801,12:49:18.835801,7057,0.68800000
1660308571.151801,12:49:31.151801,7055,0.68000000
1660308583.803801,12:49:43.803801,7053,0.92200000
1660308595.819801,12:49:55.819801,7051,0.57500000
1660308607.895801,12:50:07.895801,7049,0.27300000
1660308620.293801,12:50:20.293801,7047,0.37300000
1660308632.922801,12:50:32.922801,7045,0.50200000
1660308645.852801,12:50:45.852801,7043,0.92700000
1660308658.584801,12:50:58.584801,7041,0.90300000
1660308670.691801,12:51:10.691801,7039,0.81300000
1660308683.438801,12:51:23.438801,7037,0.94000000
1660308695.637801,12:51:35.637801,7035,0.70600000
1660308708.001801,12:51:48.001801,7033,0.64000000
1660308720.460801,12:52:00.460801,7031,0.64600000
1660308733.011801,12:52:13.011801,7029,0.88900000
1660308745.063801,12:52:25.063801,7027,0.47800000
1660308757.542801,12:52:37.542801,7025,0.55700000
1660308769.790801,12:52:49.790801,7023,0.39300000
1660308782.717801,12:53:02.717801,7021,0.76300000
1660308794.447801,12:53:14.447801,7019,0.39500000
1660308807.414801,12:53:27.414801,7017,0.83500000
1660308819.975801,12:53:39.975801,7015,0.99500000
1660308832.196801,12:53:52.196801,7013,0.51400000
1660308844.714801,12:54:04.714801,7011,0.94000000
1660308857.081801,12:54:17.081801,7009,0.68900000
1660308869.620801,12:54:29.620801,7007,0.99700000
1660308881.835801,12:54:41.835801,7005,0.65000000
1660308894.255801,12:54:54.255801,7003,0.85900000
1660308906.778801,12:55:06.778801,7001,0.71100000
1660308918.826801,12:55:18.826801,6999,0.44100000
