,,,Trigger SFT_GunStart Applied Dither
Time,Time,Shot,Value (Seconds)
1660363694.582809,04:08:14.582809,6312,0.65500000
1660363706.072806,04:08:26.072806,6314,0.65500000
1660363717.765809,04:08:37.765809,6316,0.81600000
1660363729.141807,04:08:49.141807,6318,0.60500000
1660363741.016808,04:09:01.016808,6320,0.92200000
1660363752.278807,04:09:12.278807,6322,0.53600000
1660363764.437809,04:09:24.437809,6324,0.94600000
1660363776.078811,04:09:36.078811,6326,0.73200000
1660363787.272808,04:09:47.272808,6328,0.62500000
1660363798.923812,04:09:58.923812,6330,0.50100000
1660363810.698809,04:10:10.698809,6332,0.74700000
1660363821.862807,04:10:21.862807,6334,0.28700000
1660363833.311810,04:10:33.311810,6336,0.25700000
1660363845.272807,04:10:45.272807,6338,0.74500000
1660363856.656810,04:10:56.656810,6340,0.38700000
1660363868.444807,04:11:08.444807,6342,0.72900000
1660363879.492811,04:11:19.492811,6344,0.26600000
1660363891.151808,04:11:31.151808,6346,0.18400000
1660363903.104810,04:11:43.104810,6348,0.69000000
1660363915.128807,04:11:55.128807,6350,0.83100000
1660363926.272810,04:12:06.272810,6352,0.94800000
1660363937.548808,04:12:17.548808,6354,0.63600000
1660363949.823809,04:12:29.823809,6356,0.99800000
1660363961.245807,04:12:41.245807,6358,0.99900000
1660363972.963809,04:12:52.963809,6360,0.75100000
1660363984.957806,04:13:04.957806,6362,0.99600000
1660363996.296809,04:13:16.296809,6364,1.00000000
1660364007.583807,04:13:27.583807,6366,0.59800000
1660364018.757812,04:13:38.757812,6368,0.48300000
1660364030.786808,04:13:50.786808,6370,0.74500000
1660364041.808807,04:14:01.808807,6372,0.44000000
1660364054.221807,04:14:14.221807,6374,0.95600000
1660364065.907810,04:14:25.907810,6376,0.96000000
1660364076.970808,04:14:36.970808,6378,0.60900000
1660364088.558811,04:14:48.558811,6380,0.48200000
1660364100.410807,04:15:00.410807,6382,0.77500000
1660364111.766811,04:15:11.766811,6384,0.55400000
1660364123.695808,04:15:23.695808,6386,0.95500000
1660364135.160810,04:15:35.160810,6388,0.92000000
1660364146.523809,04:15:46.523809,6390,0.52700000
1660364158.476811,04:15:58.476811,6392,0.97000000
1660364169.982808,04:16:09.982808,6394,0.93700000
1660364181.616811,04:16:21.616811,6396,0.93800000
1660364193.290808,04:16:33.290808,6398,0.97200000
1660364204.587812,04:16:44.587812,6400,0.77200000
1660364215.846809,04:16:55.846809,6402,0.51300000
1660364227.291806,04:17:07.291806,6404,0.08900000
1660364239.040810,04:17:19.040810,6406,0.45500000
1660364251.136811,04:17:31.136811,6408,0.82300000
1660364262.624809,04:17:42.624809,6410,0.63900000
1660364274.207807,04:17:54.207807,6412,0.78200000
1660364285.364810,04:18:05.364810,6414,0.42200000
1660364297.619811,04:18:17.619811,6416,0.86000000
1660364308.714810,04:18:28.714810,6418,0.37600000
1660364320.255807,04:18:40.255807,6420,0.60800000
1660364332.186809,04:18:52.186809,6422,0.68900000
1660364343.391808,04:19:03.391808,6424,0.45500000
1660364354.542806,04:19:14.542806,6426,0.17600000
1660364366.401807,04:19:26.401807,6428,0.32900000
1660364378.537810,04:19:38.537810,6430,0.87700000
1660364389.885808,04:19:49.885808,6432,0.85000000
1660364402.076809,04:20:02.076809,6434,0.98500000
1660364413.341807,04:20:13.341807,6436,0.85800000
1660364424.682811,04:20:24.682811,6438,0.66600000
1660364436.594807,04:20:36.594807,6440,0.75900000
1660364448.230810,04:20:48.230810,6442,0.98600000
1660364459.509808,04:20:59.509808,6444,0.58800000
1660364470.854813,04:21:10.854813,6446,0.50200000
1660364482.182810,04:21:22.182810,6448,0.03500000
1660364494.369811,04:21:34.369811,6450,0.68600000
1660364506.103808,04:21:46.103808,6452,0.99100000
1660364517.338807,04:21:57.338807,6454,0.68100000
1660364529.392808,04:22:09.392808,6456,0.93100000
1660364540.746812,04:22:20.746812,6458,0.93500000
1660364551.886809,04:22:31.886809,6460,0.46200000
1660364563.923812,04:22:43.923812,6462,0.73800000
1660364575.012810,04:22:55.012810,6464,0.60200000
1660364586.905808,04:23:06.905808,6466,0.98700000
1660364598.160811,04:23:18.160811,6468,0.60100000
1660364609.738807,04:23:29.738807,6470,0.54900000
1660364621.252811,04:23:41.252811,6472,0.28900000
1660364632.790809,04:23:52.790809,6474,0.42700000
1660364644.571812,04:24:04.571812,6476,0.58300000
1660364656.597807,04:24:16.597807,6478,0.98500000
1660364668.079811,04:24:28.079811,6480,0.96500000
1660364679.260809,04:24:39.260809,6482,0.54900000
1660364691.180811,04:24:51.180811,6484,0.95300000
1660364703.092807,04:25:03.092807,6486,0.81700000
1660364714.622812,04:25:14.622812,6488,0.81900000
1660364725.889810,04:25:25.889810,6490,0.59000000
1660364738.012810,04:25:38.012810,6492,0.97900000
1660364749.432807,04:25:49.432807,6494,0.83600000
1660364760.344807,04:26:00.344807,6496,0.40000000
1660364772.032809,04:26:12.032809,6498,0.34900000
1660364783.518807,04:26:23.518807,6500,0.35300000
1660364795.803808,04:26:35.803808,6502,0.92000000
1660364807.140806,04:26:47.140806,6504,0.65800000
1660364818.807810,04:26:58.807810,6506,0.77300000
1660364830.243808,04:27:10.243808,6508,0.67400000
1660364841.780811,04:27:21.780811,6510,0.67500000
1660364853.094808,04:27:33.094808,6512,0.27800000
1660364865.073810,04:27:45.073810,6514,0.69300000
1660364876.497809,04:27:56.497809,6516,0.91300000
1660364887.938806,04:28:07.938806,6518,0.71000000
1660364899.227810,04:28:19.227810,6520,0.51300000
1660364911.271811,04:28:31.271811,6522,0.85300000
1660364922.760809,04:28:42.760809,6524,0.97900000
1660364934.071806,04:28:54.071806,6526,0.50600000
1660364945.840810,04:29:05.840810,6528,0.85500000
1660364957.164807,04:29:17.164807,6530,0.51200000
1660364969.146810,04:29:29.146810,6532,0.96300000
1660364980.800809,04:29:40.800809,6534,0.93100000
1660364992.026810,04:29:52.026810,6536,0.83400000
1660365003.595808,04:30:03.595808,6538,0.63100000
1660365014.766807,04:30:14.766807,6540,0.19500000
1660365026.478809,04:30:26.478809,6542,0.26100000
1660365038.076812,04:30:38.076812,6544,0.51000000
1660365049.918806,04:30:49.918806,6546,0.71500000
1660365061.661812,04:31:01.661812,6548,0.91200000
1660365073.059809,04:31:13.059809,6550,0.73300000
1660365084.446808,04:31:24.446808,6552,0.47900000
1660365096.560808,04:31:36.560808,6554,0.96900000
1660365108.213812,04:31:48.213812,6556,0.79400000
1660365119.396810,04:31:59.396810,6558,0.48600000
1660365130.589809,04:32:10.589809,6560,0.11600000
1660365142.615810,04:32:22.615810,6562,0.43200000
1660365154.097807,04:32:34.097807,6564,0.47600000
1660365165.973810,04:32:45.973810,6566,0.65800000
1660365178.077812,04:32:58.077812,6568,1.00000000
1660365188.923810,04:33:08.923810,6570,0.57900000
1660365201.026806,04:33:21.026806,6572,0.98900000
1660365212.428810,04:33:32.428810,6574,0.82600000
1660365223.998807,04:33:43.998807,6576,0.77500000
1660365235.020808,04:33:55.020808,6578,0.41200000
1660365246.676809,04:34:06.676809,6580,0.42700000
1660365258.631811,04:34:18.631811,6582,0.48800000
1660365269.559810,04:34:29.559810,6584,0.08600000
1660365281.484807,04:34:41.484807,6586,0.31000000
1660365292.594811,04:34:52.594811,6588,0.00100000
1660365304.628807,04:35:04.628807,6590,0.41700000
1660365316.338810,04:35:16.338810,6592,0.54700000
1660365327.775808,04:35:27.775808,6594,0.45300000
1660365339.551811,04:35:39.551811,6596,0.74900000
1660365350.888808,04:35:50.888808,6598,0.47200000
1660365363.205809,04:36:03.205809,6600,0.98100000
1660365374.335808,04:36:14.335808,6602,0.54200000
1660365385.427807,04:36:25.427807,6604,0.32900000
1660365397.441808,04:36:37.441808,6606,0.67100000
1660365409.019812,04:36:49.019812,6608,0.51100000
1660365420.952808,04:37:00.952808,6610,0.66000000
1660365432.908811,04:37:12.908811,6612,0.96700000
1660365444.077808,04:37:24.077808,6614,0.66000000
1660365455.541807,04:37:35.541807,6616,0.43300000
1660365467.125809,04:37:47.125809,6618,0.54300000
1660365479.309811,04:37:59.309811,6620,0.84500000
1660365490.260809,04:38:10.260809,6622,0.66800000
1660365501.959807,04:38:21.959807,6624,0.76500000
1660365513.705809,04:38:33.705809,6626,0.83100000
1660365524.973809,04:38:44.973809,6628,0.78200000
1660365536.794809,04:38:56.794809,6630,0.52800000
1660365548.677812,04:39:08.677812,6632,0.98500000
1660365559.829810,04:39:19.829810,6634,0.54000000
1660365571.672808,04:39:31.672808,6636,0.70500000
1660365582.988811,04:39:42.988811,6638,0.61200000
1660365594.431808,04:39:54.431808,6640,0.23300000
1660365606.429810,04:40:06.429810,6642,0.62600000
1660365617.909807,04:40:17.909807,6644,0.46500000
1660365629.958809,04:40:29.958809,6646,0.93000000
1660365641.103808,04:40:41.103808,6648,0.52400000
1660365652.996810,04:40:52.996810,6650,0.79600000
1660365664.825808,04:41:04.825808,6652,0.99600000
1660365676.220810,04:41:16.220810,6654,0.90000000
1660365687.351809,04:41:27.351809,6656,0.43500000
1660365698.490807,04:41:38.490807,6658,0.08900000
1660365710.372809,04:41:50.372809,6660,0.28200000
1660365722.484811,04:42:02.484811,6662,0.54100000
1660365734.396806,04:42:14.396806,6664,0.99000000
1660365745.652810,04:42:25.652810,6666,0.56400000
1660365756.687809,04:42:36.687809,6668,0.23400000
1660365768.824810,04:42:48.824810,6670,0.66700000
1660365779.830811,04:42:59.830811,6672,0.40600000
1660365791.555807,04:43:11.555807,6674,0.51600000
1660365802.977809,04:43:22.977809,6676,0.42500000
1660365814.544807,04:43:34.544807,6678,0.44300000
1660365826.360809,04:43:46.360809,6680,0.76800000
1660365837.964807,04:43:57.964807,6682,0.59900000
1660365849.703809,04:44:09.703809,6684,0.84100000
1660365860.980806,04:44:20.980806,6686,0.60500000
1660365872.621809,04:44:32.621809,6688,0.42900000
1660365884.667812,04:44:44.667812,6690,0.98000000
1660365896.146809,04:44:56.146809,6692,0.98100000
1660365907.671806,04:45:07.671806,6694,0.63200000
1660365919.174810,04:45:19.174810,6696,0.46800000
1660365930.292807,04:45:30.292807,6698,0.03200000
1660365941.972811,04:45:41.972811,6700,0.04400000
1660365953.890807,04:45:53.890807,6702,0.22000000
1660365965.837810,04:46:05.837810,6704,0.72700000
1660365977.527813,04:46:17.527813,6706,0.65300000
1660365989.288809,04:46:29.288809,6708,0.90600000
1660366000.693807,04:46:40.693807,6710,0.70100000
1660366012.416809,04:46:52.416809,6712,0.84000000
1660366024.086806,04:47:04.086806,6714,0.93700000
1660366035.294810,04:47:15.294810,6716,0.49000000
1660366047.394811,04:47:27.394811,6718,0.81800000
1660366058.490810,04:47:38.490810,6720,0.46000000
1660366070.317806,04:47:50.317806,6722,0.70600000
1660366081.534811,04:48:01.534811,6724,0.42000000
1660366094.014811,04:48:14.014811,6726,0.85000000
1660366105.218810,04:48:25.218810,6728,0.77200000
1660366116.839806,04:48:36.839806,6730,0.60500000
1660366128.737809,04:48:48.737809,6732,0.96000000
1660366140.282812,04:49:00.282812,6734,0.94300000
1660366151.446810,04:49:11.446810,6736,0.51700000
1660366163.329812,04:49:23.329812,6738,0.71800000
1660366174.850809,04:49:34.850809,6740,0.53900000
1660366187.052811,04:49:47.052811,6742,0.85900000
1660366198.390808,04:49:58.390808,6744,0.77800000
1660366209.929813,04:50:09.929813,6746,0.66200000
1660366221.643809,04:50:21.643809,6748,0.76500000
1660366233.431811,04:50:33.431811,6750,0.92500000
1660366245.069807,04:50:45.069807,6752,0.67400000
1660366256.193807,04:50:56.193807,6754,0.45800000
1660366268.141808,04:51:08.141808,6756,0.72700000
1660366279.368813,04:51:19.368813,6758,0.37600000
1660366291.241805,04:51:31.241805,6760,0.72100000
1660366302.801806,04:51:42.801806,6762,0.72500000
1660366314.082809,04:51:54.082809,6764,0.33200000
1660366326.323810,04:52:06.323810,6766,0.90000000
1660366337.914807,04:52:17.914807,6768,0.90600000
1660366349.051807,04:52:29.051807,6770,0.45500000
1660366360.973809,04:52:40.973809,6772,0.87900000
